FlareClass,Flare Date,AR,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
C13,11/14/2012 0:10,11614,2586.79,42616000000,3.92E+23,6.49579E+13,134.507,1.01925E+13,4.06E+22,1361.09,-5642.3,4061.89,4.198,-0.2511,23.622
C20,11/29/2012 0:10,11623,1840.53,37142000000,4.47E+23,3.82855E+13,58.241,1.59593E+12,3.19E+22,767.478,-5484.5,6957.76,4.353,-0.2801,27.16
C13,12/18/2012 0:10,11633,2213.91,41388000000,4.75E+23,5.4695E+13,464.881,1.75825E+13,3.55E+22,1135.31,-3962.1,5866.61,4.248,-0.1816,28.195
C13,12/23/2012 0:10,11633,2106.75,26989000000,2.71E+23,4.56375E+13,423.453,1.91781E+13,2.21E+22,1228.04,-1606.3,5275.84,4.289,-0.1129,29.108
C12,1/1/2013 0:10,11640,951.295,13138000000,1.55E+23,2.19024E+13,139.899,4.44882E+12,1.03E+22,411.796,-388.67,6170.98,3.764,-0.0561,40.997
C31,1/12/2013 0:10,11652,2422.54,28678000000,3.09E+23,5.4204E+13,411.535,1.27957E+13,2.66E+22,1583.03,-2038.1,4846.47,4.228,-0.1348,27.347
C23,1/13/2013 0:10,11652,2062.56,25629000000,2.49E+23,4.74185E+13,430.823,1.32205E+13,2.34E+22,1429.43,-1842.1,4595.81,4.152,-0.1363,22.402
C65,1/14/2013 0:10,11652,2017.55,26218000000,2.68E+23,4.75821E+13,466.913,1.84955E+13,2.51E+22,1263.95,-2192.9,4620.79,4.147,-0.1587,20.491
C11,1/31/2013 0:10,11663,272.546,5694800000,7.28E+22,7.17189E+12,24.97,1.66998E+12,3.58E+21,284.26,114.24,8090.12,3.405,0.0381,47.128
C63,2/5/2013 0:10,11669,620.771,16112000000,4.52E+22,1.37462E+13,160.269,7.91298E+12,1.41E+22,170.918,-4736.1,1461.23,3.521,-0.5576,5.104
C10,2/6/2013 0:10,11669,855.568,14563000000,6.05E+22,2.01054E+13,148.069,7.73897E+12,1.92E+22,417.452,-3663.2,1392.82,3.347,-0.4771,2.731
C15,2/12/2013 0:10,11670,921.43,16224000000,2.52E+23,2.38214E+13,81.294,4.33438E+12,1.23E+22,435.917,-1185.3,8164.97,4.044,-0.1386,44.327
C36,3/12/2013 0:10,11689,1226.13,12980000000,1.17E+23,3.05238E+13,42.508,4.87456E+12,1.49E+22,796.695,-1771.6,2892.03,3.78,-0.2589,26.13
C21,3/14/2013 0:10,11691,819.801,12997000000,1.90E+23,1.94598E+13,0.096,7.16536E+11,1.03E+22,423.935,-778.68,7479.54,3.982,-0.1136,41.141
C15,3/19/2013 0:10,11695,601.509,13932000000,2.31E+23,1.55112E+13,98.957,5.73341E+11,9.52E+21,425.692,-531.16,9730.05,2.5,-0.0723,47.149
C14,3/13/2013 0:10,11696,729.567,12656000000,1.89E+23,1.65915E+13,116.412,3.77888E+12,8.06E+21,339.813,-287.22,10444,3.825,-0.043,50.389
C10,3/15/2013 0:10,11696,555.538,11718000000,1.87E+23,1.70032E+13,16.012,2.32718E+12,8.38E+21,416.036,-290.72,8067.22,3.127,-0.0471,51.119
C15,3/16/2013 0:10,11698,810.886,12152000000,1.25E+23,1.99675E+13,40.412,3.77187E+12,1.04E+22,310.997,-1369.6,4872.95,4.035,-0.2138,29.734
C17,4/3/2013 0:10,11711,2392.69,55106000000,8.29E+23,5.82528E+13,404.522,7.27026E+12,4.05E+22,1364.24,-3803.4,8976.53,4.362,-0.1309,33.558
C16,4/7/2013 0:10,11713,988.736,18954000000,1.24E+23,2.60561E+13,4.127,9.48338E+11,1.72E+22,710.16,-1942.1,2839.57,3.201,-0.1944,18.475
C16,4/8/2013 0:10,11714,360.656,6590800000,7.63E+22,9.57936E+12,96.964,2.55998E+12,4.41E+21,243.176,-30.531,6428.61,2.587,-0.0088,40.018
C10,4/6/2013 0:10,11718,573.339,9993400000,7.73E+22,1.10538E+13,93.982,1.05022E+12,6.08E+21,191.165,-874.75,6029.06,4.063,-0.166,30.79
C31,4/7/2013 0:10,11718,746.943,13710000000,1.55E+23,1.52605E+13,7.872,4.95366E+12,9.29E+21,290.187,-926.22,8111.67,3.903,-0.1281,40.247
C15,4/9/2013 0:10,11718,1521.88,20397000000,3.33E+23,3.316E+13,354.213,1.12524E+13,1.56E+22,630.842,-981.1,9198.1,4.408,-0.0912,47.665
C34,4/10/2013 0:10,11718,1923.25,26094000000,4.44E+23,4.2177E+13,225.066,3.92385E+12,2.07E+22,819.391,-1692.1,9386.04,4.476,-0.123,49.496
C10,4/11/2013 0:10,11718,1823.58,25882000000,4.12E+23,4.1578E+13,224.255,9.22804E+12,2.27E+22,897.356,-2296.8,7858.99,4.393,-0.1683,44.937
